crt_index_60_40,crt_index_50_50,crt_index_55_45
1345.0,602,1472.0
1324.0,571,867.0
768.0,669,1317.0
897.0,1190,820.0
1077.0,1035,824.0
826.0,1242,1291.0
1129.0,587,1341.0
1196.0,869,905.0
904.0,681,749.0
1380.0,1226,869.0
1307.0,853,820.0
754.0,715,1272.0
821.0,765,789.0
1509.0,672,1458.0
1300.0,1260,1281.0
1097.0,586,846.0
1094.0,1170,1672.0
1264.0,1417,1696.0
1368.0,632,859.0
788.0,572,863.0
1199.0,1067,1358.0
1549.0,1088,1430.0
1613.0,1190,1376.0
1382.0,589,867.0
730.0,631,930.0
1153.0,630,791.0
1545.0,1179,1507.0
1354.0,1042,1682.0
781.0,919,1591.0
1499.0,659,947.0
916.0,1297,1357.0
1197.0,388,1686.0
1406.0,1118,1303.0
723.0,642,1159.0
752.0,1158,1383.0
1222.0,890,809.0
1595.0,1331,1786.0
974.0,1423,1584.0
920.0,1259,887.0
950.0,1013,788.0
947.0,417,1646.0
1168.0,1432,1543.0
1494.0,1009,827.0
1491.0,574,1408.0
1520.0,1038,1653.0
1429.0,1070,1705.0
1355.0,603,1654.0
941.0,1359,1494.0
1051.0,600,1709.0
857.0,1375,1569.0
881.0,1241,1286.0
914.0,1411,1554.0
857.0,1140,1704.0
985.0,567,1450.0
1142.0,620,808.0
1076.0,1383,1765.0
784.0,1479,1668.0
951.0,1321,1680.0
1425.0,1367,1484.0
1192.0,1093,1515.0
1618.0,1327,1248.0
1464.0,1417,1511.0
1572.0,975,1376.0
917.0,959,1165.0
926.0,1063,1676.0
1134.0,899,1682.0
1459.0,556,1685.0
1585.0,1465,784.0
1494.0,548,1773.0
798.0,521,1495.0
1479.0,589,1717.0
688.0,563,988.0
886.0,584,1613.0
883.0,569,1352.0
1451.0,598,1226.0
1400.0,604,1494.0
1491.0,1103,1585.0
1330.0,549,1490.0
1008.0,1362,1506.0
863.0,1109,1499.0
1488.0,759,1699.0
1503.0,1384,1388.0
1264.0,1443,1674.0
586.0,1162,1625.0
1257.0,1161,1471.0
1245.0,1403,1426.0
642.0,1369,1672.0
1415.0,685,1483.0
769.0,1087,1785.0
1214.0,959,894.0
1634.0,686,1668.0
1497.0,1029,1577.0
978.0,1162,1673.0
1512.0,394,1449.0
815.0,534,740.0
679.0,513,1787.0
761.0,426,1679.0
1276.0,934,779.0
969.0,553,728.0
1444.0,961,787.0
,798,1404.0
,546,803.0
,527,823.0
,404,851.0
,539,1631.0
,560,796.0
,760,856.0
,1467,
